office_name,office_category,zone_name,address,city,state,postal_code,latitude,longitude,confidence,score,provider,query_type,query,verification_notes
"EPFO Head Office, New Delhi",HEAD OFFICE,Head Office,"Employees Provident Fund Organization, (Ministry of Labour & Employment), Plate A Ground Floor, Office Block-II, East Kidwai Nagar, New Delhi - 110023",New Delhi,,110023,28.575228,77.19561,low,0.471,nominatim,postal_code,"110023, India",string_similarity=0.23; token_overlap=0.17; city_match; postal_match; within_india_bounds
"Office of the Addl. Central Provident Fund Commissioner, DELHI, UTTARAKHAND, JAMMU & KASHMIR AND LADAKH","DELHI, UTTARAKHAND, JAMMU & KASHMIR AND LADAKH","Delhi, UK, JK, Ladakh","Office of the Addl. Central Provident Fund Commissioner(Delhi & Uttarakhand), Bhavishya Nidhi Bhawan,, 8 th Floor, 28, Community Centre, Wazirpur Industrial Area,, New Delhi - 110052",New Delhi,Uttarakhand,110052,29.228783,79.530414,low,0.457,nominatim,city_state,"New Delhi, Uttarakhand, India",string_similarity=0.21; token_overlap=0.14; city_match; state_match; postal_missing; within_india_bounds
"Regional Office, DELHI [NORTH]",DELHI [NORTH],"Delhi, UK, JK, Ladakh","Bhavishya Nidhi Bhawan,, 28, Community Centre,, Wazirpur Industrial Area,, Delhi - 110052",Delhi,,110052,28.683154,77.175808,low,0.47,nominatim,postal_code,"110052, India",string_similarity=0.21; token_overlap=0.18; city_match; postal_match; within_india_bounds
"Regional Office, DELHI [CENTRAL]",DELHI [CENTRAL],"Delhi, UK, JK, Ladakh","Bhavishya Nidhi Bhawan,, 28, Community Centre,, Wazirpur Industrial Area,, Delhi - 110052",Delhi,,110052,28.683154,77.175808,low,0.47,nominatim,postal_code,"110052, India",string_similarity=0.21; token_overlap=0.18; city_match; postal_match; within_india_bounds
"Regional Office, DELHI [WEST]",DELHI [WEST],"Delhi, UK, JK, Ladakh","EPFO Complex, Plot No. 23,, Sector-23, Dwarka,, New Delhi - 110077",New Delhi,,110077,28.573553,77.066296,low,0.527,nominatim,postal_code,"110077, India",string_similarity=0.27; token_overlap=0.33; city_match; postal_match; within_india_bounds
"Regional Office, DELHI [SOUTH]",DELHI [SOUTH],"Delhi, UK, JK, Ladakh","EPFO Complex, Plot No. 23,, Sector-23, Dwarka,, New Delhi - 110077",New Delhi,,110077,28.573553,77.066296,low,0.527,nominatim,postal_code,"110077, India",string_similarity=0.27; token_overlap=0.33; city_match; postal_match; within_india_bounds
"Regional Office, DELHI [EAST]",DELHI [EAST],"Delhi, UK, JK, Ladakh","DSIIDC Facility Centre Building,Flatted Factory Complex,, 2nd & 3rd Floor, Jhilmil Industrial Area,(Behind Dilshad Garden Metro Station), Delhi - 110095",Delhi,,110095,28.678153,77.312741,low,0.444,nominatim,postal_code,"110095, India",string_similarity=0.20; token_overlap=0.10; city_match; postal_match; within_india_bounds
"Regional Office, DEHRADUN",DEHRADUN,"Delhi, UK, JK, Ladakh","Bhavishyanidhi Bhawan,Vyomprasth, Kanwali GMS Road, Dehradun - 248001",Dehradun,,248001,30.325565,78.043681,low,0.519,nominatim,city_only,"Dehradun, India",string_similarity=0.30; token_overlap=0.25; city_match; postal_match; within_india_bounds
"Regional Office, HALDWANI",HALDWANI,"Delhi, UK, JK, Ladakh","IInd Floor, Khurana Complex, Opposite Judges Court,, Nainital Road, (Nainital)., Haldwani - 263139",Haldwani,,263139,29.20958,79.52996,low,0.545,nominatim,postal_code,"263139, India",string_similarity=0.36; token_overlap=0.27; city_match; postal_match; within_india_bounds
"Regional Office, JAMMU",JAMMU,"Delhi, UK, JK, Ladakh","Office of the Regional Provident Fund Commissioner, Jammu, Bhavishya Nidhi Bhawan, Rail Road - 180012",Rail Road,,180012,9.013782,76.534659,very_low,0.323,nominatim,city_only,"Rail Road, India",string_similarity=0.16; token_overlap=0.15; city_match; postal_missing; within_india_bounds
"Regional Office, LEH (LADAKH)",LEH (LADAKH),"Delhi, UK, JK, Ladakh","EPFO FACILITATION CENTRE, LEH (Ladakh), ALC Complex, Skampari,, Leh - 194101",Leh,Ladakh,194101,34.186977,77.517864,medium,0.69,maps_co,postal_code,"194101, India",string_similarity=0.39; token_overlap=0.33; city_match; state_match; postal_match; within_india_bounds
"Regional Office, KASHMIR (SRINAGAR)",KASHMIR (SRINAGAR),"Delhi, UK, JK, Ladakh","EPFO REGIONAL OFFICE KASHMIR, 1st & 2nd Floor of Labour Commissioner’s Building, Behind General Bus stand, Batamallo - 190009","Behind General Bus Stand, Batamallo",,190009,34.071808,74.797526,very_low,0.315,nominatim,postal_code,"190009, India",string_similarity=0.24; token_overlap=0.12; city_mismatch; postal_match; within_india_bounds
"Office of the Addl. Central Provident Fund Commissioner, PUNJAB & HIMACHAL PRADESH",PUNJAB & HIMACHAL PRADESH,Punjab & Himachal Pradesh,"Office of the Addl. Central Provident Fund Commissioner, (Punjab & Himachal Pradesh),, S.C.O. 4-7, Sector 17-D,, Chandigarh. -",Chandigarh. -,,,30.733442,76.779714,very_low,0.15,nominatim,city_only,"Chandigarh. -, India",string_similarity=0.15; token_overlap=0.07; city_mismatch; postal_unavailable; within_india_bounds
"Regional Office, AMRITSAR",AMRITSAR,Punjab & Himachal Pradesh,"Bhavishaya Nidhi Bhawan, 9, Basant Avenue,, Old Jail Road,, Amritsar - 143 001",Amritsar - 143 001,,,31.635666,74.87875,very_low,0.217,nominatim,city_only,"Amritsar - 143 001, India",string_similarity=0.33; token_overlap=0.08; city_mismatch; postal_unavailable; within_india_bounds
"District Office, D.O - BATALA",D.O - BATALA,Punjab & Himachal Pradesh,"Sunder Vatika Complex, Opp. Sita Mata Mandir,, Smadh Road,, Batala, Distt. Gurdaspur - 143505","Batala, Distt. Gurdaspur",,143505,31.818202,75.211579,very_low,0.363,nominatim,postal_code,"143505, India",string_similarity=0.30; token_overlap=0.23; city_mismatch; postal_match; within_india_bounds
"Regional Office, BHATINDA",BHATINDA,Punjab & Himachal Pradesh,"Bhavishaya Nidhi Bhawan,Urban Estate Phase-I,, Near TV Tower,, Bhatinda - 151 001",Bhatinda - 151 001,,,30.206791,74.94637,very_low,0.191,nominatim,city_only,"Bhatinda - 151 001, India",string_similarity=0.32; token_overlap=0.00; city_mismatch; postal_unavailable; within_india_bounds
